data,ricoveri,abruzzo,basilicata,calabria,campania,emilia_romagna,friuli_venezia_giulia,lazio,liguria,lombardia,marche,molise,piemonte,puglia,sardegna,sicilia,toscana,umbria,valle_daosta,veneto,pa_bolzano,pa_trento
2020-02-20T00:00:00,5,,,,,1,,,,1,,,,,1,,,,,2,,
2020-02-21T00:00:00,2,,,,,0,,,,1,,,,,0,,,,,1,,
2020-02-22T00:00:00,3,1,,,,0,,,,1,,,,,0,,,,,1,,
2020-02-23T00:00:00,5,0,,,,3,,,,2,,,,,0,,,,,0,,
2020-02-24T00:00:00,10,0,,,,0,,2,,4,,,,,0,,,,,4,,
2020-02-25T00:00:00,46,0,,,,3,,0,,37,3,,,,0,,,,,3,,
2020-02-26T00:00:00,19,0,,,,2,,0,1,15,0,,1,,0,,,,,0,,
2020-02-27T00:00:00,26,0,,,,2,,0,0,19,0,,3,,0,,,,,2,,
2020-02-28T00:00:00,40,0,,,,8,,2,0,27,1,,0,,0,,,,,2,,
2020-02-29T00:00:00,48,0,,,,12,,1,0,27,2,,2,,0,,,,,4,,
2020-03-01T00:00:00,57,0,,,,3,1,2,2,43,2,,0,1,0,,,,,3,,
2020-03-02T00:00:00,77,0,,,,12,0,3,2,51,2,,0,0,0,,,,,7,,
2020-03-03T00:00:00,94,0,,,,9,0,2,1,69,1,,6,0,2,,,1,,3,,
2020-03-04T00:00:00,106,0,,,1,10,0,3,1,73,2,1,11,0,1,,,0,,3,,
2020-03-05T00:00:00,109,0,,,0,12,0,2,1,77,5,1,6,0,0,,,0,,5,,
2020-03-06T00:00:00,143,0,,,1,24,2,3,5,77,4,0,8,1,1,2,,0,,15,,
2020-03-07T00:00:00,128,2,,,2,16,1,4,4,73,7,0,3,1,3,1,,0,,8,1,2
2020-03-08T00:00:00,119,0,,2,1,23,0,3,8,62,7,0,1,1,0,0,,1,,10,0,0
2020-03-09T00:00:00,157,0,,0,0,19,1,5,8,94,9,1,7,2,1,0,,0,,7,2,1
2020-03-10T00:00:00,156,3,,0,2,17,2,6,9,85,6,0,10,3,0,1,1,1,1,8,1,0
2020-03-11T00:00:00,191,2,,0,0,22,3,8,6,95,11,0,9,2,0,2,0,5,0,21,3,2
2020-03-12T00:00:00,198,4,,1,4,31,1,5,11,87,12,0,9,3,1,1,0,1,1,23,2,1
2020-03-13T00:00:00,246,2,,0,3,30,2,7,7,140,16,0,7,3,2,3,1,2,3,17,0,1
2020-03-14T00:00:00,227,1,1,1,1,35,3,10,2,118,7,1,8,2,2,9,1,0,0,15,4,6
2020-03-15T00:00:00,214,5,0,3,1,26,8,6,10,98,5,0,10,6,2,3,0,2,2,20,3,4
2020-03-16T00:00:00,238,3,1,3,2,27,3,7,9,119,9,0,14,4,0,5,2,3,1,22,3,1
2020-03-17T00:00:00,286,6,0,0,6,32,3,9,12,131,10,0,10,7,4,8,2,4,2,32,6,2
2020-03-18T00:00:00,309,4,3,5,3,26,3,7,21,137,15,0,8,7,3,9,8,4,2,36,7,1
2020-03-19T00:00:00,274,5,2,4,4,27,4,10,8,113,12,1,13,7,0,6,1,4,3,35,6,9
2020-03-20T00:00:00,288,11,2,1,10,26,9,17,18,124,7,0,7,10,1,6,3,2,3,23,3,5
2020-03-21T00:00:00,249,2,1,1,4,22,6,13,9,99,1,0,22,6,3,10,7,5,2,23,6,7
2020-03-22T00:00:00,296,4,1,3,2,33,3,12,17,104,10,1,29,11,1,8,3,3,4,32,5,10
2020-03-23T00:00:00,325,4,2,4,7,19,3,20,21,113,6,0,39,11,3,11,5,3,1,42,6,5
2020-03-24T00:00:00,307,6,4,1,4,34,2,16,12,122,13,0,36,4,1,7,4,2,3,26,4,6
2020-03-25T00:00:00,339,3,1,1,7,26,3,12,21,126,13,1,44,7,3,4,5,3,4,34,10,11
2020-03-26T00:00:00,245,9,0,0,1,24,2,9,5,100,9,0,28,10,2,7,4,4,3,18,4,6
2020-03-27T00:00:00,264,5,1,2,5,23,4,9,20,109,2,1,20,15,3,6,7,2,2,22,1,5
2020-03-28T00:00:00,200,5,0,0,4,15,1,11,8,85,2,0,11,8,3,7,6,5,0,24,1,4
2020-03-29T00:00:00,196,0,1,1,1,22,1,11,16,84,4,0,13,10,0,5,2,2,1,14,4,4
2020-03-30T00:00:00,223,6,1,2,6,16,0,7,16,94,8,0,20,9,1,8,2,1,0,17,6,3
2020-03-31T00:00:00,190,4,0,0,3,17,0,7,9,95,5,0,16,5,1,7,2,1,0,14,0,4
2020-04-01T00:00:00,192,2,2,3,3,15,3,9,15,80,4,0,20,11,1,4,0,2,1,11,2,4
2020-04-02T00:00:00,189,1,0,1,2,12,1,2,14,98,4,0,12,8,2,4,7,1,2,12,2,4
2020-04-03T00:00:00,146,2,2,1,3,18,1,6,6,60,0,0,10,8,1,4,4,1,1,13,1,4
2020-04-04T00:00:00,124,2,0,0,3,5,1,6,12,52,1,0,12,4,0,6,4,0,0,12,3,1
2020-04-05T00:00:00,99,1,0,1,3,6,1,2,5,55,0,0,3,2,2,1,3,1,0,12,0,1
2020-04-06T00:00:00,126,1,1,1,3,11,2,1,6,56,4,0,10,5,5,4,1,0,0,12,2,1
2020-04-07T00:00:00,138,3,0,2,1,9,6,3,7,47,2,0,24,3,0,1,10,2,0,11,4,3
2020-04-08T00:00:00,141,0,0,0,3,9,0,4,11,55,3,0,35,1,0,2,5,0,1,11,1,0
2020-04-09T00:00:00,154,2,0,1,1,9,0,3,6,45,3,0,58,4,4,4,5,0,0,8,1,0
2020-04-10T00:00:00,111,3,1,1,2,4,1,2,6,37,1,0,28,3,4,2,3,1,0,7,1,4
2020-04-11T00:00:00,88,2,1,1,0,7,2,0,6,33,0,0,20,2,1,1,4,2,0,6,0,0
2020-04-12T00:00:00,68,2,0,0,0,4,1,2,5,27,1,0,13,1,1,1,6,0,0,3,1,0
2020-04-13T00:00:00,55,0,0,0,0,4,2,2,6,26,1,0,7,2,0,1,0,0,0,4,0,0
2020-04-14T00:00:00,79,1,0,0,4,8,1,4,6,28,1,0,10,5,1,2,2,1,0,4,1,0
2020-04-15T00:00:00,81,0,0,0,3,6,0,2,3,30,1,0,18,3,1,1,7,2,0,3,1,0
2020-04-16T00:00:00,72,1,0,0,0,9,1,1,6,19,2,0,19,2,1,0,3,0,0,7,0,1
2020-04-17T00:00:00,88,0,0,1,0,7,2,2,3,15,1,0,42,2,1,1,2,0,0,7,0,2
2020-04-18T00:00:00,84,0,0,0,1,9,2,1,3,14,0,0,40,8,1,2,0,1,0,2,0,0
2020-04-19T00:00:00,85,1,0,1,1,3,0,2,3,15,1,0,37,8,2,0,7,1,1,1,0,1
2020-04-20T00:00:00,95,0,0,0,1,10,0,1,4,20,1,0,46,6,1,2,2,0,0,1,0,0
2020-04-21T00:00:00,73,1,0,0,1,6,0,3,1,13,0,0,39,1,0,1,2,0,1,4,0,0
2020-04-22T00:00:00,91,1,0,0,0,6,2,1,3,14,0,0,52,3,2,1,0,1,0,5,0,0
2020-04-23T00:00:00,89,0,0,0,1,4,0,2,2,18,2,0,52,4,0,1,0,0,0,3,0,0
2020-04-24T00:00:00,76,0,1,0,0,8,0,0,5,13,2,0,43,0,0,0,2,0,0,2,0,0
2020-04-25T00:00:00,78,0,0,0,0,2,0,2,1,9,0,0,50,4,3,3,0,0,1,2,1,0
2020-04-26T00:00:00,74,0,0,0,0,1,0,1,2,14,1,0,38,2,0,3,2,1,0,6,2,1
2020-04-27T00:00:00,58,0,0,0,0,1,0,3,2,9,0,0,32,1,0,1,3,0,0,5,0,1
2020-04-28T00:00:00,58,1,0,0,0,5,0,1,1,9,0,0,34,0,0,1,2,0,0,4,0,0
2020-04-29T00:00:00,70,0,0,0,0,3,0,3,1,16,0,0,36,1,0,3,4,0,0,3,0,0
2020-04-30T00:00:00,57,0,0,0,0,3,0,0,2,10,0,0,39,0,0,0,0,0,0,2,1,0
2020-05-01T00:00:00,53,0,0,0,0,1,0,1,1,6,0,0,35,2,4,1,1,0,0,1,0,0
2020-05-02T00:00:00,47,0,0,0,0,2,0,1,3,7,0,0,27,2,1,0,2,0,0,1,1,0
2020-05-03T00:00:00,34,0,0,0,1,3,0,0,2,3,0,0,21,0,0,0,2,0,0,2,0,0
2020-05-04T00:00:00,43,1,0,0,0,5,0,1,0,8,0,0,23,0,0,0,1,0,0,4,0,0
2020-05-05T00:00:00,43,0,0,0,1,1,0,2,1,10,1,0,21,3,0,0,1,0,0,2,0,0
2020-05-06T00:00:00,61,0,0,0,0,5,0,0,1,8,0,0,36,1,0,1,6,0,1,2,0,0
2020-05-07T00:00:00,35,0,0,0,0,0,0,1,1,4,0,0,22,1,0,1,2,0,0,2,1,0
2020-05-08T00:00:00,38,0,0,1,0,1,0,1,0,5,0,0,26,1,0,0,1,0,0,2,0,0
2020-05-09T00:00:00,27,0,0,0,0,2,1,2,0,6,0,0,14,1,0,0,0,0,0,1,0,0
2020-05-10T00:00:00,21,1,0,0,0,2,0,1,0,2,0,0,11,0,0,0,2,0,0,2,0,0
2020-05-11T00:00:00,27,0,0,0,0,1,0,0,1,4,0,1,20,0,0,0,0,0,0,0,0,0
2020-05-12T00:00:00,20,0,0,0,0,1,0,1,0,0,0,0,17,1,0,0,0,0,0,0,0,0
2020-05-13T00:00:00,31,0,0,0,0,1,1,0,0,2,1,0,18,0,0,1,3,0,0,3,1,0
2020-05-14T00:00:00,33,0,0,1,0,1,0,0,0,2,0,1,27,1,0,0,0,0,0,0,0,0
2020-05-15T00:00:00,32,1,0,0,0,0,1,1,0,6,0,0,20,0,0,0,1,0,0,2,0,0
2020-05-16T00:00:00,25,0,0,0,0,1,0,1,0,3,0,0,18,1,0,0,0,0,0,1,0,0
2020-05-17T00:00:00,20,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,1,0,0,1,0,0
2020-05-18T00:00:00,14,0,0,0,0,1,0,1,1,2,0,0,9,0,0,0,0,0,0,0,0,0
2020-05-19T00:00:00,22,0,0,0,0,0,0,2,1,2,0,0,15,0,0,0,1,0,0,1,0,0
2020-05-20T00:00:00,18,0,0,0,1,2,0,1,0,2,0,0,10,0,1,0,1,0,0,0,0,0
2020-05-21T00:00:00,18,0,0,0,1,1,0,0,0,3,0,0,9,1,0,0,0,0,2,0,1,0
2020-05-22T00:00:00,13,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,2,0,1
2020-05-23T00:00:00,15,0,0,0,0,2,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0
2020-05-24T00:00:00,13,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,1,0,0,1,0,0
2020-05-25T00:00:00,15,0,0,0,0,1,0,0,1,3,0,0,8,0,0,1,1,0,0,0,0,0
2020-05-26T00:00:00,16,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,3,0,0,0,0,0
2020-05-27T00:00:00,10,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0
2020-05-28T00:00:00,6,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-05-29T00:00:00,18,0,0,0,0,0,2,1,0,1,0,0,11,0,0,0,3,0,0,0,0,0
2020-05-30T00:00:00,9,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0
2020-05-31T00:00:00,7,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,1,0,0,0,0,0
2020-06-01T00:00:00,9,0,0,0,0,0,1,1,0,2,0,0,3,0,0,0,2,0,0,0,0,0
2020-06-02T00:00:00,8,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0
2020-06-03T00:00:00,5,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-04T00:00:00,9,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0
2020-06-05T00:00:00,10,0,0,0,0,1,0,0,1,1,0,0,5,0,0,1,1,0,0,0,0,0
2020-06-06T00:00:00,11,1,0,0,0,1,0,0,0,2,0,0,5,0,0,1,1,0,0,0,0,0
2020-06-07T00:00:00,7,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
2020-06-08T00:00:00,6,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
2020-06-09T00:00:00,10,0,0,0,0,1,0,0,0,3,0,0,4,1,0,0,1,0,0,0,0,0
2020-06-10T00:00:00,12,1,1,1,0,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-06-11T00:00:00,8,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0
2020-06-12T00:00:00,6,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-06-13T00:00:00,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-06-14T00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2020-06-15T00:00:00,8,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
2020-06-16T00:00:00,9,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0
2020-06-17T00:00:00,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
2020-06-18T00:00:00,9,0,0,0,0,0,0,0,0,1,1,0,3,0,0,2,1,0,0,1,0,0
2020-06-19T00:00:00,10,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2020-06-20T00:00:00,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0
2020-06-21T00:00:00,5,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2020-06-22T00:00:00,7,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-06-23T00:00:00,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-24T00:00:00,10,0,0,0,0,1,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0
2020-06-25T00:00:00,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
2020-06-26T00:00:00,8,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0
2020-06-27T00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-06-28T00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-06-29T00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-06-30T00:00:00,7,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0
2020-07-01T00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
2020-07-02T00:00:00,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
2020-07-03T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04T00:00:00,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2020-07-05T00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-07-06T00:00:00,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-07-07T00:00:00,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-08T00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-07-09T00:00:00,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-07-10T00:00:00,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
2020-07-11T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12T00:00:00,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-13T00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-07-14T00:00:00,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
2020-07-15T00:00:00,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2020-07-16T00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-07-17T00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-18T00:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19T00:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-07-20T00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21T00:00:00,5,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-22T00:00:00,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
2020-07-23T00:00:00,6,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-24T00:00:00,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-25T00:00:00,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
2020-07-26T00:00:00,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2020-07-27T00:00:00,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2020-07-28T00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2020-07-29T00:00:00,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-07-30T00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0
2020-07-31T00:00:00,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
2020-08-01T00:00:00,6,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2020-08-02T00:00:00,4,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-08-03T00:00:00,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2020-08-04T00:00:00,10,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,1,0,0
2020-08-05T00:00:00,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-06T00:00:00,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-07T00:00:00,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2020-08-08T00:00:00,6,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0
2020-08-09T00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-10T00:00:00,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
